pi0,m,method,mean_fdr,mean_power,sd_fdr,sd_power
0.75,4,bonferroni,0.0181,1.0,0.09410485286813498,0.0
0.75,4,hochberg,0.0704,1.0,0.17524413447150425,0.0
0.75,4,bh,0.0357,1.0,0.13057760144833416,0.0
0.75,8,bonferroni,0.012766666666666666,1.0,0.06436278255154743,0.0
0.75,8,hochberg,0.04753333333333332,1.0,0.11839915540239294,0.0
0.75,8,bh,0.03717333333333333,1.0,0.10865812318153362,0.0
0.75,16,bonferroni,0.008886666666666666,0.82415,0.045463348363758295,0.12109614981493014
0.75,16,hochberg,0.03828666666666667,0.88155,0.08858905149308488,0.12602419410573512
0.75,16,bh,0.037738095238095244,0.8742,0.08973959240181807,0.1274729775285727
0.75,32,bonferroni,0.005246349206349206,0.804525,0.026921448117771703,0.08199938643063129
0.75,32,hochberg,0.023386031746031745,0.855475,0.05292302350233662,0.0878031854490485
0.75,32,bh,0.03818126651126651,0.8718,0.06772635296898287,0.09183414397706334
0.75,64,bonferroni,0.0028791799866799872,0.7856875,0.014619315174592843,0.05593519548325544
0.75,64,hochberg,0.013047145011850895,0.8310875,0.029580785219701047,0.05983549192369025
0.75,64,bh,0.038448538644877656,0.87045,0.04904599047349707,0.06597526051483238
0.5,4,bonferroni,0.008466666666666666,1.0,0.05276240243877368,0.0
0.5,4,hochberg,0.016466666666666664,1.0,0.0724642747228668,0.0
0.5,4,bh,0.02673333333333333,1.0,0.09163209044870688,0.0
0.5,8,bonferroni,0.005826666666666667,0.84935,0.036555056801730976,0.12546743601429017
0.5,8,hochberg,0.013903333333333334,0.8861,0.054987651037907294,0.12490712549730701
0.5,8,bh,0.02675,0.9007,0.07438147730898242,0.12294108345056992
0.5,16,bonferroni,0.003009920634920635,0.82535,0.020103672684941936,0.08622573571735993
0.5,16,hochberg,0.00810468253968254,0.856075,0.03205717217683994,0.08639282015885348
0.5,16,bh,0.02511638528138528,0.89705,0.05428234904116768,0.08804145330467916
0.5,32,bonferroni,0.001621565934065934,0.8074625,0.010926944377712057,0.06037977594981617
0.5,32,hochberg,0.004259429541047188,0.833575,0.01711501761955835,0.06032128044894272
0.5,32,bh,0.024747287005220442,0.8977,0.03865051080362152,0.06340857591840396
0.5,64,bonferroni,0.001140333000776779,0.786525,0.006551685817431169,0.03995977665102747
0.5,64,hochberg,0.0023900046594529352,0.81199375,0.009617938500740861,0.040638670296129276
0.5,64,bh,0.024858628998431147,0.8972375,0.02866432586335597,0.045013294911059334
0.25,4,bonferroni,0.0031,0.9981333333333334,0.02766568271342676,0.024874440250541877
0.25,4,hochberg,0.004,0.9992,0.03136877428271625,0.01631032392893123
0.25,4,bh,0.012,0.9995333333333332,0.053441556863549546,0.01246345769751628
0.25,8,bonferroni,0.0016761904761904763,0.8999333333333333,0.016089387496815277,0.08411629515801983
0.25,8,hochberg,0.0027523809523809528,0.9102333333333333,0.02062290517087917,0.08394939613309382
0.25,8,bh,0.012304761904761903,0.9434666666666668,0.04208509466240706,0.07918742885640931
0.25,16,bonferroni,0.0012306993006993008,0.8276333333333332,0.010513070712475012,0.07184674275459148
0.25,16,hochberg,0.0018517327117327116,0.8447333333333332,0.012808797455942659,0.07161266182270655
0.25,16,bh,0.012174455544455544,0.9143833333333334,0.030812916157797327,0.07001236200367283
0.25,32,bonferroni,0.0005858170128879511,0.8047166666666667,0.005324023687299296,0.04876790554361661
0.25,32,hochberg,0.0009782269243596474,0.82005,0.006858508684332449,0.048612101259757214
0.25,32,bh,0.01259127948049916,0.9122833333333334,0.02309946516262552,0.05125733280874715
0.25,64,bonferroni,0.00035243215754216737,0.7866416666666667,0.003003737856987544,0.03264805060540879
0.25,64,hochberg,0.000575528325156053,0.800825,0.0037881943324115696,0.03259569139046175
0.25,64,bh,0.01221167522899723,0.9126375,0.01606179455200913,0.03573142266930079
0.0,4,bonferroni,0.0,0.87615,0.0,0.12658466534300275
0.0,4,hochberg,0.0,0.8875,0.0,0.12487493743742177
0.0,4,bh,0.0,0.92605,0.0,0.11420988354779109
0.0,8,bonferroni,0.0,0.85165,0.0,0.08820304699952264
0.0,8,hochberg,0.0,0.859075,0.0,0.0868879702548057
0.0,8,bh,0.0,0.925375,0.0,0.08270722081535564
0.0,16,bonferroni,0.0,0.825875,0.0,0.06078278436366665
0.0,16,hochberg,0.0,0.832525,0.0,0.05963901302838605
0.0,16,bh,0.0,0.9235875,0.0,0.06046206326077534
0.0,32,bonferroni,0.0,0.8065625,0.0,0.04200423155766571
0.0,32,hochberg,0.0,0.81295625,0.0,0.041159783447407734
0.0,32,bh,0.0,0.9229625,0.0,0.04245389226855413
0.0,64,bonferroni,0.0,0.78679375,0.0,0.028477465734989483
0.0,64,hochberg,0.0,0.793221875,0.0,0.028089984974352958
0.0,64,bh,0.0,0.924253125,0.0,0.0299276273843981
