pi0,M,FDP_Bonf,Power_Bonf,FDP_Hoch,Power_Hoch,FDP_BH,Power_BH
0.75,4,0.019566666666666666,1.0,0.0259,1.0,0.03838333333333333,1.0
0.75,8,0.011733333333333332,1.0,0.015633333333333332,1.0,0.038189999999999995,1.0
0.75,16,0.008718333333333333,0.8266,0.010826666666666667,0.833075,0.036868333333333336,0.8758
0.75,32,0.004979960317460317,0.805125,0.006267261904761905,0.811125,0.0381783460983461,0.87265
0.75,64,0.0028118081918081916,0.784525,0.003264321928071928,0.79018125,0.0369792777144596,0.87054375
0.75,128,0.0014863304073867987,0.76889375,0.00178961250351822,0.774140625,0.037342976027373756,0.870284375
0.75,256,0.0007382044885231105,0.7523875,0.0008979934933569834,0.7572828125,0.037449293703265954,0.8712578125
0.75,512,0.0003628447088704141,0.73625859375,0.00045797244186000444,0.74097265625,0.037524059947196695,0.870109375
0.75,1024,0.0002143437637484129,0.721477734375,0.00026116519176868903,0.72586015625,0.03747872734978057,0.870087109375
0.75,2048,0.00010540285213995177,0.7061572265625,0.00013081952698825987,0.710425,0.03731798726191206,0.8702333984375
0.75,4096,5.381619648306948e-05,0.69098076171875,6.515454043841767e-05,0.695134765625,0.0374411612642107,0.87007275390625
0.5,4,0.00845,1.0,0.017616666666666666,1.0,0.02561666666666667,1.0
0.5,8,0.005058333333333333,0.846,0.00935,0.865,0.023876904761904762,0.90045
0.5,16,0.0037242063492063495,0.8266625,0.005955238095238096,0.8427625,0.024772023809523806,0.8989125
0.5,32,0.0017788159879336349,0.80563125,0.0029219893341952165,0.82063125,0.02505483254232867,0.89826875
0.5,64,0.0009096458005873299,0.78603125,0.0014693550117493145,0.800053125,0.024555425050347458,0.897190625
0.5,128,0.0005470583701072656,0.76915,0.0008729788573723679,0.7812359375,0.025001952030277108,0.896928125
0.5,256,0.00026493376943890915,0.75196171875,0.0004545732626186492,0.7631859375,0.0250947935801492,0.8967859375
0.5,512,0.00012830585893125498,0.736564453125,0.00021080461829824464,0.747002734375,0.024889899616909576,0.896723046875
0.5,1024,6.451174122256445e-05,0.7212689453125,9.824293812512184e-05,0.7312341796875,0.025042294488140646,0.896451953125
0.5,2048,3.176415500728367e-05,0.70616796875,4.893084336537579e-05,0.715796484375,0.025039350548617917,0.8966041015625
0.5,4096,1.814193440438988e-05,0.691007470703125,2.6671608640679085e-05,0.7003830078125,0.024932691052408987,0.89660107421875
0.25,4,0.0032,0.9980666666666667,0.01255,0.9993666666666666,0.01255,0.9996
0.25,8,0.002153333333333333,0.9000500000000001,0.006610714285714286,0.9244666666666668,0.012548809523809525,0.9442166666666668
0.25,16,0.0012242735042735044,0.8254666666666668,0.003343199578199578,0.8582333333333334,0.012995904095904095,0.9129416666666667
0.25,32,0.0005498362846976389,0.8052708333333333,0.001576797297922012,0.8347083333333334,0.012382396141615822,0.9135625
0.25,64,0.0003526425106848727,0.7858416666666667,0.0008950116623285115,0.8114708333333334,0.012323587498759947,0.9121770833333332
0.25,128,0.00017776227225841396,0.7685270833333334,0.00039611294208844247,0.7913885416666667,0.01245295907572997,0.9125958333333332
0.25,256,8.50170582844415e-05,0.7520708333333334,0.00019639990694839794,0.7727369791666667,0.012446848890571944,0.9121489583333334
0.25,512,4.216274136823467e-05,0.7366768229166667,9.362468474532038e-05,0.7555846354166667,0.012390754790630577,0.912328125
0.25,1024,1.9977827964296996e-05,0.7212946614583333,5.1140594397146e-05,0.7391197916666666,0.012543001795308074,0.9122944010416666
0.25,2048,1.1421077028746479e-05,0.7060279296874999,2.705254826945559e-05,0.7231473307291666,0.012483303195147928,0.9120873046875
0.25,4096,5.9787493807582444e-06,0.6909779947916667,1.2184222350507644e-05,0.7074855143229166,0.012498069811014145,0.9121887369791666
0.0,4,0.0,0.875425,0.0,0.926925,0.0,0.927
0.0,8,0.0,0.8470875,0.0,0.9163875,0.0,0.923225
0.0,16,0.0,0.82575625,0.0,0.90283125,0.0,0.92374375
0.0,32,0.0,0.805278125,0.0,0.8763,0.0,0.92393125
0.0,64,0.0,0.786325,0.0,0.841784375,0.0,0.9231390625
0.0,128,0.0,0.76892890625,0.0,0.81397265625,0.0,0.9230359375
0.0,256,0.0,0.75201953125,0.0,0.790550390625,0.0,0.923008984375
0.0,512,0.0,0.736691015625,0.0,0.7708875,0.0,0.923237109375
0.0,1024,0.0,0.7213333984375,0.0,0.75251904296875,0.0,0.92315966796875
0.0,2048,0.0,0.70609873046875,0.0,0.73526923828125,0.0,0.923148486328125
0.0,4096,0.0,0.6909222900390625,0.0,0.71858828125,0.0,0.9230780517578125
